Timestamp,Institution,Which best describes your role in coastal wetland carbon science?,Which best describes the spatial scale of your work?,Where are you in your career?,I primarily work...,What type coastal wetland carbon data would you like to see synthesized and publically available?,What is your preferred way of accessing data?,Do you have data you would like to make publicly available,Is there any support the network can give you to help with the process of making your data publicly available?,What kind of data are you interested in submitting?,What is your motivation for archiving your data?,What type of training would improve your capacity as a scientist / practitioner / policy expert?,Would any of these proposed workshops be of interest to you?,"Do you have an idea for a collaborative workshop with the goal of a synthesis dataset, model, or and/or publication?",What are some things that have worked about a collaborative workshops you have attended? ,"What can make a collaborative workshop ineffective, but can be avoided?",Where do you see the state of Coastal Wetland Carbon Research and Practice in 5 years (10 years)?,Do you have any other feedback or concerns?
1/26/2018 17:44:26,"CINVESTAV-IPN, Unidad Mérida",Scientist,sites,Senior Researcher / Manager,Outside the U.S.,mangroves and seagrasses,"A visual map interface with point and click data, Linked spreadsheets with raw and summary data",Yes,,site carbon stocks,"Getting cited in data syntheses, Long-term safety of my data (hard drive crashes, acts of god, retirement), Participating and strengthening the scientific community","Data management (GitHub, R), Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing), Statistics and modeling","Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",I would suggest addressing a synthesis of the factors that determine the variability in carbon stores in mangroves of different ecological types.,have a question to answer with the database and an previous analysis,"avoid the protagonism of colleagues with more experience. His advice is important, but all the participants contribute with data and ideas.",supporting decision making and contributing to improve the quality of life of the inhabitants of their surroundings.,no
1/26/2018 18:07:24,CINVESTAV-Unidad Merida,Scientist,sites,Early Career,Outside the U.S.,,A visual map interface with point and click data,Maybe,,,,"Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing)","Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",,,,,
1/26/2018 18:29:25,Center of Research and Advaced Studies of IPN,Scientist,sites,Senior Researcher / Manager,Outside the U.S.,mangroves,"Neat summary tables and graphics, Linked spreadsheets with raw and summary data",Yes,,Carbon stocks,Getting cited in data syntheses,"Data management (GitHub, R), Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing), Statistics and modeling, Working with stakeholders (seminars, community events)","Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",no,,"the lack of comunication, and we can avoided using apps ",,no
1/29/2018 9:27:38,Scripps Institution of Oceanography,Scientist,sites,Early Career,Both,accumulation rates,"Neat summary tables and graphics, Linked spreadsheets with raw and summary data",Maybe,,,,"Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing)","Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",,,,,
1/29/2018 16:56:59,Scripps Institution of Oceanography (UCSD),Scientist,sites,Student,Outside the U.S.,"Soil organic carbon data, distinguishing sites with data only to 1 m vs. those with deeper samples","A visual map interface with point and click data, Linked spreadsheets with raw and summary data",Maybe,"Help with formatting, Help with meta-data, Having an agreed upon policy for data use and citation",,,"Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing), Working with stakeholders (seminars, community events)",Coastal wetlands as carbon sinks and sources through lateral and vertical exchange,,,,"Continued gathering of more and better-quality data on soil carbon (with increased move toward prediction, capturing spatial variability)",
1/31/2018 10:12:15,cinvestav-ipn merida,Scientist,sites,Student,Outside the U.S., freshwater and saltwater wetlands,"A visual map interface with point and click data, Neat summary tables and graphics, Linked spreadsheets with raw and summary data",Maybe,,,,"Data management (GitHub, R), Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing), Statistics and modeling","Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",,,,"modeling of the horizontal fluxes, C balance integrating horizontal and vertical fluxes, restoration and management ",
1/31/2018 14:48:55,University of Delaware,Scientist,landscapes,Senior Researcher / Manager,Both,"stocks, fluxes",Writing your own code to query databases,Yes,,eddy covariance data,Participating and strengthening the scientific community,"Working with stakeholders (seminars, community events)","Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",,,,,
2/1/2018 9:56:27,Rochester Institute of Technology,Scientist,sites,Senior Researcher / Manager,Inside the U.S.,"Plot level data that includes environmental variables (salinity, grainsize, sulfide/redox, geospatial info, etc.)",Linked spreadsheets with raw and summary data,Maybe,"Help with formatting, Help with meta-data, Having an agreed upon policy for data use and citation, Creating accompanying ‘landing page’ providing data context",,,"Data management (GitHub, R), Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing), Statistics and modeling","Consequences of plant community shifts for coastal greenhouse gas balance, Consequences of land use change for coastal wetland carbon cycling","I think that the heterogeneity (spatial and temporal, and the scale at which each occurs) within/between sites could be better addressed",a clear goal with specific deliverables defined ahead of time,lack of clear goals!,"better ability to scale from very small plot-level measurements to larger landscapes, that takes into account biotic/abiotic drivers acting at the plot level",thanks!
2/1/2018 13:22:14,CINVESTAV-IPN,Scientist,plots,Early Career,Outside the U.S.,Mangrove,Neat summary tables and graphics,Writing the paper,Help with formatting,,,"Field methods (videos, meetings, seminars, wikis), Data management (GitHub, R), Statistics and modeling",Coastal wetlands as carbon sinks and sources through lateral and vertical exchange,,,,Being used as base for Policy Makers,
2/7/2018 11:18:52,US Environmental Protection Agency,Scientist,national,Early Career,Inside the U.S.,"carbon stocks, emission and sequestration rates, associated site information (hydrology, land use, etc)","Linked spreadsheets with raw and summary data, Writing your own code to query databases",Maybe,"Help with meta-data, Having an agreed upon policy for data use and citation, Creating accompanying ‘landing page’ providing data context",,,"Field methods (videos, meetings, seminars, wikis), Data management (GitHub, R), Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing), Statistics and modeling, Working with stakeholders (seminars, community events)",Consequences of land use change for coastal wetland carbon cycling,,,,,
2/9/2018 9:21:49,GRID-Arendal,"Policy Expert, Project development and fundraising",global,Senior Researcher / Manager,Both,"Status and trends of ecosystem health and impacts, carbon stored and fixed, other ecosystem benefits, economic values","A visual map interface with point and click data, Neat summary tables and graphics","Potentially from the project sites of the Blue Forests Project (Ecuador, Dominican Republic, USA, Mozambique, Madagascar, UAE, Indonesia, Thailand)",Having an agreed upon policy for data use and citation,,,"Field methods (videos, meetings, seminars, wikis), Working with stakeholders (seminars, community events)","Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange","Include the skeptics - persons that would give helpful criticism, coastal blue carbon is plagued with echo chamber mentality (like minded scientists speaking to themselves) which can miss discussion of key issues to address",,"Secret agendas and egos, please include neutral moderation",Supporting developing countries to fulfill coastal wetland pledges in their Nationally Determined Contributions to the UNFCCC.,
2/12/2018 18:09:08,Oregon State University,Scientist,sites,Early Career,Inside the U.S.,"stocks, sequestration rates, salinity and climate data","Neat summary tables and graphics, Linked spreadsheets with raw and summary data",Maybe,"Algorithms for Quality Control, Creating accompanying ‘landing page’ providing data context, Creating a citable digital object identifier for the data (DOI)",,,"Field methods (videos, meetings, seminars, wikis), Data management (GitHub, R), Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing), Statistics and modeling, Working with stakeholders (seminars, community events)",Consequences of plant community shifts for coastal greenhouse gas balance,,Having some clear objectives for workshop outcomes are important.,,In 5-10 years we will have been able to do US-wide meta-analyses on stocks and will be working in more detail on questions of fluxes and C transport into and out of coastal wetlands.,
2/13/2018 13:13:20,CONABIO,"Scientist, Land Manager / Practitioner",national,Senior Researcher / Manager,Outside the U.S.,Mangroves,"A visual map interface with point and click data, Neat summary tables and graphics, Linked spreadsheets with raw and summary data, Writing your own code to query databases",Yes,,Maps and database,"Getting cited in data syntheses, Participating and strengthening the scientific community","Data management (GitHub, R), Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing), Statistics and modeling","Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange","Invite the network of researchers in mangroves, with whom we work to convince them of the importance of sharing common  database.","Clear objectives, invite key people in the process, good attitude of people.",Personality of people,"In the mangroves of Mexico there will be a good progress in the investigations, in a quite organized and participatory group","CONABIO is a focal point for work in mangroves, including carbon, we have made several collaborations with multiple researchers and soon we publish a book that includes carbon estimates in which there are several researchers.http://www.biodiversidad.gob.mx/ecosistemas/manglares2013/manglares.html"
2/18/2018 9:39:21,NC State University,Scientist,landscapes,Senior Researcher / Manager,Inside the U.S.,Fluxes of all forms of C,"A visual map interface with point and click data, Neat summary tables and graphics, Linked spreadsheets with raw and summary data",Maybe,"Help with formatting, Help with meta-data, Algorithms for Quality Control, Having an agreed upon policy for data use and citation, Creating accompanying ‘landing page’ providing data context, Creating a citable digital object identifier for the data (DOI)",,,"Data management (GitHub, R), Spatial statistics (ArcGis, Open Source GIS, Remotes Sensing), Statistics and modeling","Consequences of land use change for coastal wetland carbon cycling, Coastal wetlands as carbon sinks and sources through lateral and vertical exchange",Approaches to quantifying lateral C fluxes across multiple scales,"Pre-planning that engages everyone. Being open and inclusive, yet prudent about workshop size. Agreed agenda; venue with hands-on work (either data or field collection of observations). Community meals followed by quick daily debrief and revisit of objectives and tasks for the next day (or at the start and end of the workshop) before releasing everyone for the day. I've found having workshop attendees eat together provides a relaxed atmosphere but continues the day's work in a productive sense. Then, a quick wrap up meeting for the day before everyone goes to blow off steam. ","Lacking clear objectives and workshop outcomes (eg, deliverables); Poor balance between aim and objectives given the size of the workshop. Failing to be inclusive before, during, and after the workshop. ","5 years: I think we will know far more about the variability of vertical and lateral C fluxes and we will be developing subgrid models for ESMs. Better publicly available long terms data sets that have C in them. 10 years: More integration of remote sensing observations; New inights into urbanization and modification of coastal wetland watersheds as effects on coastal wetland C stocks and fluxes. ",This is a great and much-needed activity - please keep after us for input and planning for best execution. 
